product_url,product_name,brand,mrp,sale_price,discount_percentage,star_rating,no_of_reviews,general_information,warranty,installation_demo_information,performance_features_information,cooking_features_information,power_features_information,dimensions_information,Model Name,Type,Capacity,Color,Control Type,Mount Type,Warranty Summary,Power Output,Power Requirement,Width,Height,Weight,Power Levels,Preheat,Timer,Defrost,Steam Cook,Reheat,Alarm,Child Lock,Overheat Protection,Racks & Trays Available
https://www.flipkart.com/bajaj-20-l-grill-microwave-oven/p/itm438ef2e1e11e0?pid=MRCFYGF2XCGEQV6H,"BAJAJ 20 L Grill Microwave Oven  (2016 MTBX, Black)",BAJAJ,"5,995","5,799",3,4.4,"5,695","{'In The Box': 'User Manual\n1 Microwave Oven', 'Brand': 'BAJAJ', 'Model Name': '2016 MTBX', 'Type': 'Grill', 'Capacity': '20 L', 'Color': 'Black', 'Shade': 'Black', 'Control Type': 'Mechanical Knob', 'Manufacturing Year': '2020'}",{'Warranty Summary': '1 Year Warranty'},{'Not available'},"{'Preheat': 'Yes', 'Timer': 'Yes', 'Defrost': 'Yes', 'Power Levels': '10', 'Steam Cook': 'Yes', 'Reheat': 'Yes'}","{'Alarm': 'No', 'Memory Function': 'No', 'Child Lock': 'Yes', 'Overheat Protection': 'No'}",{'Power Output': '700 W'},"{'Width': '40 cm', 'Height': '32.8 cm', 'Depth': '20.94 cm', 'Weight': '11 kg'}",2016 MTBX,Grill,20 L,Black,Mechanical Knob,,1 Year Warranty,700 W,,40 cm,32.8 cm,11 kg,10,Yes,Yes,Yes,Yes,Yes,No,Yes,No,
https://www.flipkart.com/bajaj-17-l-solo-microwave-oven/p/itmdxecdsze7bu4h?pid=MRCDXECBDZA7ZZJP,"BAJAJ 17 L Solo Microwave Oven  (1701MT, White)",BAJAJ,"6,500","4,999",23,4.3,"28,162","{'In The Box': '1 Microwave Oven\n1 User Manual with Warranty Card', 'Brand': 'BAJAJ', 'Model Name': '1701MT', 'Type': 'Solo', 'Capacity': '17 L', 'Color': 'White', 'Shade': 'White', 'Control Type': 'Mechanical Knob', 'Manufacturing Year': '2020'}","{'Warranty Summary': '1 Year Bajaj Product Warranty', 'Covered in Warranty': 'Parts & Labour: Covered under Warranty against any Defect arising out of Faulty or Defective Material or Workmanship.', 'Not Covered in Warranty': ""Warranty does not cover accessories external to the product\nProduct is not used according to the instructions given in the instruction manual\nSite (premises where the product is kept) conditions that do not confirm to the recommended operating conditions of the machine\nModification or alteration of any nature is made in the electrical circuitry/ or physical construction of the set\nParts: Main Door/Door Plastic\nDefects due to cause beyond control like lightning, abnormal voltage, acts of God or while in transit to service centre or purchaser's residence.""}",{'Not available'},"{'Preheat': 'No', 'Timer': 'Yes', 'Defrost': 'Yes', 'Other Performance Features': 'Time Defrost'}",{'Other Convenience Features': 'Multi Power Levels'},{'Power Output': '700 W'},"{'Width': '40.99 cm', 'Height': '30.98 cm', 'Depth': '51.99 cm', 'Weight': '12.2 kg'}",1701MT,Solo,17 L,White,Mechanical Knob,,1 Year Bajaj Product Warranty,700 W,,40.99 cm,30.98 cm,12.2 kg,,No,Yes,Yes,,,,,,
https://www.flipkart.com/bajaj-17-l-solo-microwave-oven/p/itmebafc967f4e2b?pid=MRCGZT5HTEG2DMJW,"BAJAJ 17 L Solo Microwave Oven  (1702MT, White)",BAJAJ,"8,800","4,999",43,4.3,"28,162","{'In The Box': '1 Microwave Oven, 1 Turnable Roller, 1 Glass Tray, Instruction Manual, Warranty Card', 'Brand': 'BAJAJ', 'Model Name': '1702MT', 'Type': 'Solo', 'Capacity': '17 L', 'Color': 'White', 'Shade': 'White', 'Control Type': 'Mechanical Knob'}","{'Warranty Summary': '1 Year Warranty on Product', 'Covered in Warranty': 'Parts and Labour: Covered Under Warranty Against Any Defect Arising Out of Faulty or Defective Material or Workmanship', 'Not Covered in Warranty': ""Parts: Main Door or Door Plastic, Warranty Does Not Cover Accessories External to the Product. Product is Not Used According to the Instructions Given in the Instruction Manual, Modification or Alteration of Any Nature is Made in the Electrical Circuitry or Physical Construction of the Set, Site (Premises Where the Product is Kept) Conditions That Do Not Confirm to the Recommended Operating Conditions of the Machine, Defects Due to Cause Beyond Control Like Lightning, Abnormal Voltage, Acts of God or While in Transit to Service Centres or Purchaser's Residence""}",{'Not available'},"{'Preheat': 'Yes', 'Timer': 'Yes', 'Defrost': 'Yes', 'Power Levels': '4', 'Reheat': 'Yes'}",{'Not available'},{'Power Output': '650 W'},"{'Width': '44.5 cm', 'Height': '24 cm', 'Depth': '32 cm', 'Weight': '9.6 kg'}",1702MT,Solo,17 L,White,Mechanical Knob,,1 Year Warranty on Product,650 W,,44.5 cm,24 cm,9.6 kg,4,Yes,Yes,Yes,,Yes,,,,
https://www.flipkart.com/bajaj-23-l-convection-grill-microwave-oven/p/itm12862b24c7eb2?pid=MRCG6FG9UHURMYDR,"BAJAJ 23 L Convection & Grill Microwave Oven  (2310 ETC Convection Microwave Oven 23L, Black)",BAJAJ,"17,775","10,499",40,4.3,234,"{'In The Box': '1N - MICROWAVE OVEN\n1N - GRILL RACK\n1N - GLASS TRAY\n1N - TUMTABLE RING ASSEMBLY\n1N - INSTRUCTION MANUAL\n1N - WARRANTY CARD', 'Brand': 'BAJAJ', 'Model Name': '2310 ETC Convection Microwave Oven 23L', 'Type': 'Convection & Grill', 'Capacity': '23 L', 'Color': 'Multicolor', 'Shade': 'Black', 'Control Type': 'Tact (Buttons)', 'Mount Type': 'BUILT IN', 'Series': '2310ETC Convection Microwave Oven 23L Black', 'Frequency': '50 MHz', 'Display Type': 'LED', 'Manufacturing Year': '2021'}","{'Warranty Summary': '1 Year Warranty on Product', 'Covered in Warranty': 'Warranty of the product is limited to manufacturing defects only', 'Not Covered in Warranty': 'Warranty Does Not Cover Any External Accessories Damage Caused To The Product Due To Improper Installation By Customer, Normal Wear And Tear From Any Side Of The Products., Etc.', 'Warranty Service Type': 'CUSTOMER NEEDS TO CALL AT CUSTOMER CARE NO.: 18001025963 / 022-41280000'}",{'Not available'},"{'Preheat': 'Yes', 'Timer': 'Yes', 'Defrost': 'Yes', 'Power Levels': '3', 'Steam Cook': 'Yes', 'Reheat': 'Yes', 'Control Features': 'START PAUSE, ADD TIMER', 'Temperature Range': '0-200 degree C', 'Other Performance Features': 'Auto Cook - Choose from diffrent Auto Cook menus without any fuss. This feature allows you to preset the desired temperature and timing as per the cooking requirement and set them manually'}","{'Alarm': 'Yes', 'Memory Function': 'Yes', 'Child Lock': 'Yes', 'Overheat Protection': 'Yes', 'Racks & Trays Available': 'RPTISSERIE', 'Other Convenience Features': 'Convection : Can be used for baking along with grilling, reheating, defrosting and cooking'}","{'Power Output': '800 W', 'Power Requirement': '230V-50HZ', 'Power Consumption - Grill': '1200 W', 'Power Consumption - Convection': '1200 W', 'Power Consumption - Microwave': '1300 W', 'Other Power Features': 'Power Levels - Choose between 5 different power levels to cook as per your need.This feature allows you to control the temperature as per the cooking requirement'}","{'Width': '33 cm', 'Height': '43 cm', 'Depth': '54 cm', 'Weight': '14.2 kg'}",2310 ETC Convection Microwave Oven 23L,Convection & Grill,23 L,Multicolor,Tact (Buttons),BUILT IN,1 Year Warranty on Product,800 W,230V-50HZ,33 cm,43 cm,14.2 kg,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RPTISSERIE
https://www.flipkart.com/bajaj-20-l-grill-microwave-oven/p/itmdxecdgckfhf2g?pid=MRCDXECBFQG8UDFJ,"BAJAJ 20 L Grill Microwave Oven  (2005ETB, White)",BAJAJ,"7,960","7,960",0,4.2,"5,566","{'In The Box': '1 Microwave Oven,User Manual & 1 grill Rack', 'Brand': 'BAJAJ', 'Model Name': '2005ETB', 'Type': 'Grill', 'Capacity': '20 L', 'Color': 'White', 'Shade': 'White', 'Control Type': 'Touch Key Pad (Membrane)', 'Manufacturing Year': '2020'}","{'Warranty Summary': '1 Year Bajaj Product Warranty', 'Covered in Warranty': 'Parts & Labour: Covered under Warranty against any Defect arising out of Faulty or Defective Material or Workmanship.', 'Not Covered in Warranty': ""Warranty does not cover accessories external to the product\nProduct is not used according to the instructions given in the instruction manual\nSite (premises where the product is kept) conditions that do not confirm to the recommended operating conditions of the machine\nModification or alteration of any nature is made in the electrical circuitry/ or physical construction of the set\nParts: Main Door/Door Plastic\nDefects due to cause beyond control like lightning, abnormal voltage, acts of God or while in transit to service centre or purchaser's residence.""}",{'Demo Details': 'Explain all the functionality of the product\nFlipkart will facilitate Demo service at time of your convenience from an brand authorized service engineer\nFlipkart will communicate the day and time slot of the scheduled Demo service through a SMS and the same information will also be available in your order details page\nUsage of the product\nThe Demo service will be provided free of cost. All additional accessories not part of the the package will be charged separately\nThe authorized service engineer will be providing detailed demo that includes\nPreventive maintenance action to be taken'},"{'Timer': 'Yes', 'Defrost': 'Yes', 'Other Performance Features': 'Weight Defrost, Time Defrost'}","{'Child Lock': 'Yes', 'Other Convenience Features': 'Timer in Minutes: 60, Multi Power Levels, Weight Defrost, Time Defrost'}","{'Power Output': '800 W', 'Power Consumption - Grill': '1000 W'}","{'Width': '43.99 cm', 'Height': '30.98 cm', 'Depth': '53 cm', 'Weight': '13.6 kg'}",2005ETB,Grill,20 L,White,Touch Key Pad (Membrane),,1 Year Bajaj Product Warranty,800 W,,43.99 cm,30.98 cm,13.6 kg,,,Yes,Yes,,,,Yes,,
https://www.flipkart.com/bajaj-25-l-convection-microwave-oven/p/itmdxecddzedgxuf?pid=MRCDXECBJVZ6UMUH,"BAJAJ 25 L Convection Microwave Oven  (2504ETC, Silver Grey)",BAJAJ,"10,450","9,198",11,4.3,347,"{'In The Box': '1 Microwave Oven and User Manual', 'Brand': 'BAJAJ', 'Model Name': '2504ETC', 'Type': 'Convection', 'Capacity': '25 L', 'Color': 'Silver Grey', 'Shade': 'Silver Grey', 'Control Type': 'Touch Key Pad (Membrane)', 'Manufacturing Year': '2020'}","{'Warranty Summary': '1 Year Bajaj Product Warranty', 'Covered in Warranty': 'Parts & Labour: Covered under Warranty against any Defect arising out of Faulty or Defective Material or Workmanship.', 'Not Covered in Warranty': ""Warranty does not cover accessories external to the product\nProduct is not used according to the instructions given in the instruction manual\nSite (premises where the product is kept) conditions that do not confirm to the recommended operating conditions of the machine\nModification or alteration of any nature is made in the electrical circuitry/ or physical construction of the set\nParts: Main Door/Door Plastic\nDefects due to cause beyond control like lightning, abnormal voltage, acts of God or while in transit to service centre or purchaser's residence.""}",{'Demo Details': 'Explain all the functionality of the product\nFlipkart will facilitate Demo service at time of your convenience from an brand authorized service engineer\nFlipkart will communicate the day and time slot of the scheduled Demo service through a SMS and the same information will also be available in your order details page\nUsage of the product\nThe Demo service will be provided free of cost. All additional accessories not part of the the package will be charged separately\nThe authorized service engineer will be providing detailed demo that includes\nPreventive maintenance action to be taken'},"{'Preheat': 'No', 'Timer': 'Yes', 'Defrost': 'Yes', 'Other Performance Features': 'Weight Defrost, Time Defrost'}","{'Child Lock': 'Yes', 'Other Convenience Features': 'Multi Power Levels'}","{'Power Output': '900 W', 'Power Consumption - Grill': '1400 W', 'Power Consumption - Convection': '2400 W'}","{'Width': '50.8 cm', 'Height': '35.05 cm', 'Depth': '56.89 cm', 'Weight': '18 kg'}",2504ETC,Convection,25 L,Silver Grey,Touch Key Pad (Membrane),,1 Year Bajaj Product Warranty,900 W,,50.8 cm,35.05 cm,18 kg,,No,Yes,Yes,,,,Yes,,
https://www.flipkart.com/bajaj-17-l-solo-microwave-oven/p/itmf37a4uzph3mgs?pid=MRCF36ZBG6KA7VVA,"BAJAJ 17 L Solo Microwave Oven  (1701 MT Dlx, Black)",BAJAJ,"6,565","6,400",2,4.4,216,"{'In The Box': 'Main Unit', 'Brand': 'BAJAJ', 'Model Name': '1701 MT Dlx', 'Type': 'Solo', 'Capacity': '17 L', 'Color': 'Black', 'Shade': 'Black', 'Control Type': 'Mechanical Knob', 'Manufacturing Year': '2020'}","{'Warranty Summary': '1 Year Bajaj Product Warranty', 'Covered in Warranty': 'Parts & Labour: Covered under Warranty against any Defect arising out of Faulty or Defective Material or Workmanship.', 'Not Covered in Warranty': ""Parts: Main Door/Door Plastic Warranty does not cover accessories external to the product Product is not used according to the instructions given in the instruction manual Modification or alteration of any nature is made in the electrical circuitry/ or physical construction of the set Site (premises where the product is kept) conditions that do not confirm to the recommended operating conditions of the machine Defects due to cause beyond control like lightning, abnormal voltage, acts of God or while in transit to service centre or purchaser's residence."", 'Warranty Service Type': 'Bajaj Customer care No 1800 233 2453'}",{'Not available'},"{'Preheat': 'No', 'Timer': 'Yes', 'Defrost': 'Yes'}",{'Not available'},{'Power Output': '700 W'},"{'Width': '40 cm', 'Height': '30 cm', 'Depth': '50 cm', 'Weight': '12.5 kg'}",1701 MT Dlx,Solo,17 L,Black,Mechanical Knob,,1 Year Bajaj Product Warranty,700 W,,40 cm,30 cm,12.5 kg,,No,Yes,Yes,,,,,,
https://www.flipkart.com/bajaj-17-l-solo-microwave-oven/p/itm155c7246d5e4d?pid=MRCG6YG9GPSCXET8,"BAJAJ 17 L Solo Microwave Oven  (1701 MT DLX, 17L Solo Microwave Oven Black, BLACK)",BAJAJ,"8,000","5,900",26,4.7,7,"{'In The Box': 'MICROWAVE OVEN, ROLLER RING, GLASS TRAY, INSTRUCTION MANUAL, WARRANTY CARD', 'Brand': 'BAJAJ', 'Model Name': '1701 MT DLX, 17L Solo Microwave Oven Black', 'Type': 'Solo', 'Capacity': '17 L', 'Color': 'Black', 'Shade': 'BLACK', 'Control Type': 'Mechanical Knob', 'Mount Type': 'BUILT IN', 'Series': '1701 MT DLX, 17L Solo Microwave Oven Black', 'Frequency': '50 MHz', 'Display Type': 'LED', 'Manufacturing Year': '2021'}","{'Warranty Summary': '1 Year Warranty on Product', 'Covered in Warranty': 'Warranty of the product is limited to manufacturing defects only', 'Not Covered in Warranty': 'Warranty Does Not Cover Any External Accessories Damage Caused To The Product Due To Improper Installation By Customer, Normal Wear And Tear From Any Side Of The Products., Etc.', 'Warranty Service Type': 'CUSTOMER NEEDS TO CALL AT CUSTOMER CARE NO.: 18001025963 / 022-41280000'}",{'Not available'},"{'Preheat': 'No', 'Timer': 'Yes', 'Defrost': 'Yes', 'Steam Cook': 'Yes', 'Reheat': 'Yes', 'Control Features': 'Mechanical Knob, ADD TIMER', 'Temperature Range': '0-200 degree C', 'Other Performance Features': 'Auto Cook - Choose from diffrent Auto Cook menus without any fuss. This feature allows you to preset the desired temperature and timing as per the cooking requirement and set them manually'}","{'Alarm': 'Yes', 'Memory Function': 'Yes', 'Child Lock': 'Yes', 'Overheat Protection': 'Yes', 'Racks & Trays Available': 'RPTISSERIE', 'Other Convenience Features': 'Auto defrost and alarm for timer'}","{'Power Output': '700 W', 'Power Requirement': '230V-50HZ', 'Power Consumption - Grill': '1200 W', 'Power Consumption - Convection': '1200 W', 'Power Consumption - Microwave': '1200 W', 'Other Power Features': 'Power Levels - Choose between 5 different power levels to cook as per your need.This feature allows you to control the temperature as per the cooking requirement'}","{'Width': '40 cm', 'Height': '17 cm', 'Depth': '28 cm', 'Weight': '12 kg'}","1701 MT DLX, 17L Solo Microwave Oven Black",Solo,17 L,Black,Mechanical Knob,BUILT IN,1 Year Warranty on Product,700 W,230V-50HZ,40 cm,17 cm,12 kg,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RPTISSERIE
https://www.flipkart.com/bajaj-23-l-convection-microwave-oven/p/itmdxecdmq53qrsz?pid=MRCDXECBH5C7CYD8,"BAJAJ 23 L Convection Microwave Oven  (2310ETC, Black)",BAJAJ,"12,000","10,000",16,4.3,190,"{'In The Box': '1 Microwave Oven and User Manual', 'Brand': 'BAJAJ', 'Model Name': '2310ETC', 'Type': 'Convection', 'Capacity': '23 L', 'Color': 'Black', 'Shade': 'Black', 'Control Type': 'Touch Key Pad (Membrane)', 'Manufacturing Year': '2020'}","{'Warranty Summary': '1 Year Bajaj Product Warranty', 'Covered in Warranty': 'Parts & Labour: Covered under Warranty against any Defect arising out of Faulty or Defective Material or Workmanship.', 'Not Covered in Warranty': ""Warranty does not cover accessories external to the product\nProduct is not used according to the instructions given in the instruction manual\nSite (premises where the product is kept) conditions that do not confirm to the recommended operating conditions of the machine\nModification or alteration of any nature is made in the electrical circuitry/ or physical construction of the set\nParts: Main Door/Door Plastic\nDefects due to cause beyond control like lightning, abnormal voltage, acts of God or while in transit to service centre or purchaser's residence.""}","{'Demo Details': 'Installation and Demo is provided free of cost. After delivery of your Microwave Oven, you will receive a ticket number via message. Post that, you will receive a call from the brand authorized service engineer to schedule a mutually convenient time to provide demo and installation at your doorstep. The installation and demo is usually done within 2 business days of delivery of your Microwave Oven. Kindly contact us on 1800 208 9898 for any further queries.'}","{'Preheat': 'No', 'Timer': 'Yes', 'Defrost': 'Yes', 'Other Performance Features': 'Weight Defrost, Time Defrost'}","{'Deodorizer': 'Yes', 'Child Lock': 'Yes', 'Other Convenience Features': 'Multi Power Levels'}","{'Power Output': '800 W', 'Power Consumption - Grill': '1200 W', 'Power Consumption - Convection': '1200 W'}","{'Width': '32.99 cm', 'Height': '43.61 cm', 'Depth': '53.59 cm', 'Weight': '14 kg'}",2310ETC,Convection,23 L,Black,Touch Key Pad (Membrane),,1 Year Bajaj Product Warranty,800 W,,32.99 cm,43.61 cm,14 kg,,No,Yes,Yes,,,,Yes,,
https://www.flipkart.com/bajaj-25-l-convection-microwave-oven/p/itm5040b74eedb9c?pid=MRCGTH2HGYHHRMUB,"BAJAJ 25 L Convection Microwave Oven  (2501 ETC, BLACK)",BAJAJ,"18,975","12,999",31,0,0,"{'In The Box': '1 COMPLETE MAIN UNIT\n1 WARRANTY CARD\n1 USER MANUAL', 'Brand': 'BAJAJ', 'Model Name': '2501 ETC', 'Type': 'Convection', 'Capacity': '25 L', 'Color': 'Black', 'Shade': 'BLACK', 'Control Type': 'Touch Key Pad (Membrane)', 'Mount Type': 'TOP', 'Series': 'CONVECTION MICROWAVE OVEN', 'Frequency': '2450 MHz', 'Display Type': 'LCD'}",{'Not available'},{'Not available'},"{'Preheat': 'Yes', 'Timer': 'Yes', 'Defrost': 'Yes', 'Other Performance Features': 'VERY GOOD'}",{'Not available'},{'Power Output': '900 W'},"{'Width': '43 cm', 'Height': '32 cm', 'Depth': '53 cm', 'Weight': '14 kg'}",2501 ETC,Convection,25 L,Black,Touch Key Pad (Membrane),TOP,,900 W,,43 cm,32 cm,14 kg,,Yes,Yes,Yes,,,,,,
