Amazon Product,Flipkart Product,Similarity Score
"IFB 20 L Convection Microwave Oven (20BC5, Black)","IFB 20 L Convection Microwave Oven  (20BC5, Black)",1
"IFB 20 L Convection Microwave Oven (20SC2, Metallic Silver, With Starter Kit), STANDARD","IFB 20 L Metallic silver Convection Microwave Oven  (20SC2, Silver)",1
"IFB 23 L Convection Microwave Oven (23BC4, Black+Floral Design)","IFB 23 L Convection Microwave Oven  (23BC4, Black)",1
"IFB 23 L Convection Microwave Oven (23BC5, Black, With Starter Kit)","IFB 23 L Convection Microwave Oven  (23BC5, Black)",1
"IFB 25 L Convection Microwave Oven (25SC4, Metallic Silver, With Starter Kit)","IFB 25 L Metallic silver Convection Microwave Oven  (25SC4, Metallic Silver)",1
"Morphy Richards 27 L Convection Microwave Oven With 27 Auto Cook Menus (27CGF, Black)","Morphy Richards 27 L Convection Microwave Oven  (27CGF, BLACK)",1
"IFB 30 L Convection Microwave Oven with Oil Free Cooking (30BC5, Black, With Starter Kit)","IFB 30 L Oil free cooking microwave with steam clean Convection Microwave Oven  (30BC5, Black)",1
"IFB 30 L Convection Microwave Oven (30BRC2, Black, With Starter Kit), Standard","IFB 30 L Convection Microwave Oven  (30BRC2, Black)",1
"IFB 30 L Convection Microwave Oven (30SC4, Metallic Silver), STANDARD","IFB 30 L Metallic silver Convection Microwave Oven  (30SC4, Metallic Silver)",1
"Samsung 32 L Convection Microwave Oven (CE117PC-B3/XTL, Black, SlimFry)","SAMSUNG 32 L Convection Microwave Oven  (CE117PC-B3/XTL, Black)",1
"Samsung 21L, Convection Microwave Oven with Triple Distribution System(CE73JD-B1/XTL, Black, Best Diwali Gift, 10 Yr warranty)","SAMSUNG 21 L Convection Microwave Oven  (CE73JD-B1/XTL, Black)",1
"Samsung 21L, Convection Microwave Oven with Triple Distribution System(CE73JD-B1/XTL, Black, Best Diwali Gift, 10 Yr warranty)","SAMSUNG 21 L Convection Microwave Oven  (CE73JD-B1/XTL, Black)",1
"Samsung 21 L Convection Microwave Oven (CE76JD-B/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE76JD-B/XTL, Black)",1
"Samsung 21 L Convection Microwave Oven (CE76JD-B1/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE76JD-B1/XTL, Black)",1
"Godrej 19 L Digital Display Convection Microwave Oven With 125 Instacook Menus (GMX 519 CP1 PZ, White Rose, Stainless Steel Cavity With Godrej Instachef App)","Godrej 19 L Convection Microwave Oven  (GMX 519 CP1 PZ - White Rose, White Rose)",1
"Haier 20 L Solo Microwave Oven (HIL2001MFPH, Black)","Haier 20 L Solo Microwave Oven  (HIL2001MFPH, Black)",1
"Haier 23 L Convection Microwave Oven (HIL2301CSSH, Silver)","Haier 23 L Convection Microwave Oven  (HIL2301CSSH, Silver)",1
"Haier 25 L Convection Microwave Oven (HIL2501CBSH, HAL2WBlack)","Haier 25 L Convection Microwave Oven  (HIL2501CBSH, Black)",1
"Haier 30L Convection Microwave Oven (HIL3001CBSH, Black, Crispy Grill)","Haier 30 L Convection Microwave Oven  (HIL3001CBSH, Black)",1
"Kenstar 20 L Convection Microwave Oven (KJ20CBG101, Black)","Kenstar 20 L Convection Microwave Oven  (M/O KJ20CBG101, Black)",1
