Amazon_Product_Name,Flipkart_Product_Name,Product_Name_Similarity,Brand_Similarity,Color_Similarity,Model_Similarity
"Samsung 21 L Convection Microwave Oven (CE76JD-B1/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE76JD-B1/XTL, Black)",1,1,1,1
"IFB 20 L Convection Microwave Oven (20BC5, Black)","IFB 20 L Convection Microwave Oven  (20BC5, Black)",1,1,1,1
"Samsung 21 L Convection Microwave Oven (CE76JD-B/XTL, Black)","SAMSUNG 21 L Convection Microwave Oven  (CE76JD-B/XTL, Black)",1,1,1,1
"Haier 20 L Solo Microwave Oven (HIL2001MFPH, Black)","Haier 20 L Solo Microwave Oven  (HIL2001MFPH, Black)",1,1,1,1
"Haier 23 L Convection Microwave Oven (HIL2301CBSB, Black)","Haier 23 L Convection Microwave Oven  (HIL2301CBSB, Black)",1,1,0.707106781,1
"Haier 23 L Convection Microwave Oven (HIL2301CSSH, Silver)","Haier 23 L Convection Microwave Oven  (HIL2301CSSH, Silver)",1,1,1,1
"Kenstar 20 L Convection Microwave Oven (KJ20CBG101, Black)","Kenstar 20 L Convection Microwave Oven  (M/O KJ20CBG101, Black)",1,1,1,1
"LG 28 L Convection Microwave Oven (MC2846SL, Silver)","LG 28 L Convection Microwave Oven  (MC2846SL, Silver)",1,1,1,1
"LG 28 L Convection Microwave Oven (MC2887BFUM, Black)","LG 28 L Convection Microwave Oven  (MC2887BFUM.DBKQILN, Black)",1,1,1,1
"Samsung 28 L Convection Microwave Oven (MC28A5033CK/TL, Black)","SAMSUNG 28 L Convection Microwave Oven  (MC28A5033CK/TL, Black)",1,1,1,1
"LG 32 L Convection Microwave Oven (MC3286BRUM, Black)","LG 32 L Convection Microwave Oven  (MC3286BRUM, Black)",1,1,1,1
"LG 20 L Grill Microwave Oven (MH2044BP, Black)","LG 20 L Grill Microwave Oven  (MH2044BP, Black)",1,1,1,1
"LG 42 L Solo Microwave Oven (MS4295DIS, Black)","LG 42 L Inverter Solo Microwave Oven  (MS4295DIS, Black)",1,1,1,1
