Flipkart Product,Amazon Product,Similarity
"Haier 23 L Convection Microwave Oven  (HIL2301CBSB, Black)","Haier 23 L Convection Microwave Oven (HIL2301CBSB, Black)",0.99
"Haier 20 L Solo Microwave Oven  (HIL2001MFPH, Black)","Haier 20 L Solo Microwave Oven (HIL2001MFPH, Black)",0.99
"Haier 23 L Convection Microwave Oven  (HIL2301CSSH, Silver)","Haier 23 L Convection Microwave Oven (HIL2301CSSH, Silver)",0.99
"IFB 20 L Convection Microwave Oven  (20BC5, Black)","IFB 20 L Convection Microwave Oven (20BC5, Black)",0.99
"LG 20 L Grill Microwave Oven  (MH2044BP, Black)","LG 20 L Grill Microwave Oven (MH2044BP, Black)",0.99
"LG 28 L Convection Microwave Oven  (MC2846SL, Silver)","LG 28 L Convection Microwave Oven (MC2846SL, Silver)",0.99
"LG 32 L Convection Microwave Oven  (MC3286BRUM, Black)","LG 32 L Convection Microwave Oven (MC3286BRUM, Black)",0.99
"Haier 20 L Solo Microwave Oven  (HIL2001MWPH, Black)","Haier 20 L Solo Microwave Oven (HIL2001MFPH, Black)",0.97
"IFB 20 L Convection Microwave Oven  (20BC4, Black)","IFB 20 L Convection Microwave Oven (20BC5, Black)",0.97
"LG 20 L Grill Microwave Oven  (MH2044DB, Black)","LG 20 L Grill Microwave Oven (MH2044BP, Black)",0.97
"LG 28 L Convection Microwave Oven  (MC2886BFUM, Black)","LG 28 L Convection Microwave Oven (MC2887BFUM, Black)",0.97
"LG 28 L Convection Microwave Oven  (MJ2887BFUM, Black)","LG 28 L Convection Microwave Oven (MC2887BFUM, Black)",0.97
"Kenstar 20 L Convection Microwave Oven  (M/O KJ20CBG101, Black)","Kenstar 20 L Convection Microwave Oven (KJ20CBG101, Black)",0.96
"Haier 25 L Convection Microwave Oven  (HIL2501CBSH, Black)","Haier 25 L Convection Microwave Oven (HIL2501CBSH, HAL2WBlack)",0.95
"IFB 28 L Convection Microwave Oven  (28BC5, Black)","IFB 20 L Convection Microwave Oven (20BC5, Black)",0.95
"IFB 23 L Convection Microwave Oven  (23BC5, Black)","IFB 20 L Convection Microwave Oven (20BC5, Black)",0.95
"LG 28 L Convection Microwave Oven  (MC2886BRUM, Black)","LG 28 L Convection Microwave Oven (MC2887BFUM, Black)",0.95
"LG 28 L Convection Microwave Oven  (MC2886BPUM, Black)","LG 28 L Convection Microwave Oven (MC2887BFUM, Black)",0.95
"LG 28 L Convection Microwave Oven  (MC2886BFTM, Black)","LG 28 L Convection Microwave Oven (MC2887BFUM, Black)",0.95
"Haier 30 L Convection Microwave Oven  (HIL3001CBSH, Black)","Haier 23 L Convection Microwave Oven (HIL2301CBSB, Black)",0.94
"Haier 20 L Convection Microwave Oven  (HIL2001CSPH, Silver)","Haier 23 L Convection Microwave Oven (HIL2301CSSH, Silver)",0.94
"LG 32 L Convection Microwave Oven  (MC3286BLT, Black)","LG 32 L Convection Microwave Oven (MC3286BRUM, Black)",0.94
"LG 28 L Convection Microwave Oven  (MC2886SFU, Silver)","LG 28 L Convection Microwave Oven (MC2846SL, Silver)",0.94
"Voltas Beko 25 L Smart Convection Microwave Oven  (MC25BD, Black)","Voltas Beko 25 L Convection Microwave Oven (MC25BD, Black)",0.94
"IFB 23 L Convection Microwave Oven  (23BC4, Black)","IFB 20 L Convection Microwave Oven (20BC5, Black)",0.93
"IFB 25 L Convection Microwave Oven  (25BC3, Black)","IFB 20 L Convection Microwave Oven (20BC5, Black)",0.93
"IFB 25 L Convection Microwave Oven  (25BC3, Black)","IFB 20 L Convection Microwave Oven (20BC5, Black)",0.93
"IFB 25 L Convection Microwave Oven  (25BC4, Black)","IFB 20 L Convection Microwave Oven (20BC5, Black)",0.93
"LG 28 L Convection Microwave Oven  (MC2846BR, Black)","LG 32 L Convection Microwave Oven (MC3286BRUM, Black)",0.93
"Haier 30 L Convection Microwave Oven  (HIL3001CBSH:IN, Black)","Haier 23 L Convection Microwave Oven (HIL2301CBSB, Black)",0.92
"IFB 30 L Convection Microwave Oven  (30BRC2, Black)","IFB 20 L Convection Microwave Oven (20BC5, Black)",0.92
"Kenstar 25 L Convection Microwave Oven  (KJ25CSL101, Black)","Kenstar 20 L Convection Microwave Oven (KJ20CBG101, Black)",0.92
"LG 28 L Convection Microwave Oven  (MC2886BLT, Black)","LG 28 L Convection Microwave Oven (MC2887BFUM, Black)",0.92
"LG 28 L Convection Microwave Oven  (MC2887BFUM.DBKQILN, Black)","LG 28 L Convection Microwave Oven (MC2887BFUM, Black)",0.92
"Whirlpool 20 L Solo Microwave Oven  (MAGICOOK PRO 20SM BLACK, Black)",Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),0.92
"Haier 28 L Convection Microwave Oven  (HIL2801RBSJ, Silver)","Haier 23 L Convection Microwave Oven (HIL2301CSSH, Silver)",0.91
"LG 28 L Convection Microwave Oven  (MC2846BV, Black)","LG 28 L Convection Microwave Oven (MC2887BFUM, Black)",0.91
"LG 32 L Convection Microwave Oven  (MJEN326UH, Black)","LG 32 L Convection Microwave Oven (MC3286BRUM, Black)",0.91
"LG 21 L Convection Microwave Oven  (MC2146BR, Black)","LG 32 L Convection Microwave Oven (MC3286BRUM, Black)",0.91
"Voltas Beko 28 L Smart Convection Microwave Oven  (MC28BD, Black)","Voltas Beko 25 L Convection Microwave Oven (MC25BD, Black)",0.91
"IFB 20 L Grill Microwave Oven  (20PG4S, Metallic Silver)","IFB 20 L Grill Microwave Oven (20PG4S, Black/ Silver)",0.9
"LG 21 L Convection Microwave Oven  (MC2146BV, Black)","LG 32 L Convection Microwave Oven (MC3286BRUM, Black)",0.9
"LG 42 L Inverter Solo Microwave Oven  (MS4295DIS, Black)","LG 42 L Solo Microwave Oven (MS4295DIS, Black)",0.9
"LG 21 L Convection Microwave Oven  (MC2146BL, Black)","LG 32 L Convection Microwave Oven (MC3286BRUM, Black)",0.9
"LG 21 L Convection Microwave Oven  (MC2146BP, Black)","LG 32 L Convection Microwave Oven (MC3286BRUM, Black)",0.9
"SAMSUNG 28 L Convection Microwave Oven  (MC28A5033CK/TL, Black)","Samsung 28 L Convection Microwave Oven (MC28A5033CK/TL, Black)",0.9
"LG 32 L Convection Microwave Oven  (MJEN326PK, Black)","LG 32 L Convection Microwave Oven (MC3286BRUM, Black)",0.89
"LG 28 L Convection Microwave Oven  (MJEN286UI, Black)","LG 28 L Convection Microwave Oven (MC2887BFUM, Black)",0.89
"LG 28 L Convection Microwave Oven  (MJEN286UH, Black)","LG 28 L Convection Microwave Oven (MC2887BFUM, Black)",0.89
"LG 28 L Convection Microwave Oven  (MJEN286UF, Black)","LG 28 L Convection Microwave Oven (MC2887BFUM, Black)",0.89
"SAMSUNG 21 L Convection Microwave Oven  (CE76JD-B/XTL, Black)","Samsung 21 L Convection Microwave Oven (CE76JD-B1/XTL, Black)",0.89
"SAMSUNG 21 L Convection Microwave Oven  (CE76JD-B1/XTL, Black)","Samsung 21 L Convection Microwave Oven (CE76JD-B1/XTL, Black)",0.89
"Haier 20 L Grill Microwave Oven  (HIL2001GBPH, Black)","Haier 20 L Solo Microwave Oven (HIL2001MFPH, Black)",0.88
"LG 32 L Charcoal Convection Microwave Oven  (MJ3286BRUS, Black)","LG 32 L Convection Microwave Oven (MC3286BRUM, Black)",0.88
"LG 28 L Charcoal Convection Microwave Oven  (MJ2886BFUM, Black)","LG 28 L Convection Microwave Oven (MC2887BFUM, Black)",0.88
"Panasonic 27 L Convection Microwave Oven  (NN-CD674MFDG, Silver)","Panasonic 27L Convection Microwave Oven(NN-CD674MFDG,Silver, Rotisserie)",0.88
"SAMSUNG 21 L Convection Microwave Oven  (CE73JD-B1/XTL, Black)","Samsung 21 L Convection Microwave Oven (CE76JD-B1/XTL, Black)",0.88
"Whirlpool 20 L Solo Microwave Oven  (MAGICOOK PRO 20SE black, Black)",Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),0.88
"LG 20 L Solo Microwave Oven  (MS2043BP, Black)","LG 20 L Grill Microwave Oven (MH2044BP, Black)",0.87
"LG 28 L Convection Microwave Oven  (MJ2886BWUM.DBKQILN, Black)","LG 28 L Convection Microwave Oven (MC2887BFUM, Black)",0.87
"Panasonic 20 L Solo Microwave Oven  (NN-ST26JMFDG, Silver)","Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)",0.87
"Haier 23 L Convection Microwave Oven  (HIL2302CRSH:IN/MWO/DL, Black)","Haier 23 L Convection Microwave Oven (HIL2301CBSB, Black)",0.86
"SAMSUNG 21 L Convection Microwave Oven  (CE73JD/XTL, Black)","Samsung 21 L Convection Microwave Oven (CE76JD-B/XTL, Black)",0.86
"SAMSUNG 21 L Convection Microwave Oven  (CE77JD-QB/TL, Black)","Samsung 21 L Convection Microwave Oven (CE76JD-B/XTL, Black)",0.86
"BAJAJ 23 L Convection Microwave Oven  (2310ETC, Black)","IFB 20 L Convection Microwave Oven (20BC5, Black)",0.85
"Haier 20 L Convection Microwave Oven  (HIL2001CWPH, Black & White)","Haier 23 L Convection Microwave Oven (HIL2301CBSB, Black)",0.85
